Alpha-3 code,English short name,License
SUR,Suriname,Public domain
SJM,Svalbard and Jan Mayen,Public domain
SWE,Sweden,Public domain
CHE,Switzerland,Public domain
SYR,Syrian Arab Republic,Public domain
TJK,Tajikistan,Public domain
TZA,Tanzania - United Republic of,Public domain
THA,Thailand,Public domain
TLS,Timor-Leste,Public domain
TGO,Togo,Public domain
TKL,Tokelau,Public domain
TON,Tonga,Public domain
TTO,Trinidad and Tobago,Public domain
TUN,Tunisia,Public domain
TUR,Türkiye,Public domain
TKM,Turkmenistan,Public domain
TCA,Turks and Caicos Islands,Public domain
TUV,Tuvalu,Public domain
UGA,Uganda,Public domain
UKR,Ukraine,Public domain
ARE,United Arab Emirates,Public domain
GBR,United Kingdom of Great Britain and Northern Ireland,Public domain
USA,United States of America,Public domain
UMI,United States Minor Outlying Islands,Public domain
URY,Uruguay,Public domain
UZB,Uzbekistan,Public domain
VUT,Vanuatu,Public domain
VEN,Venezuela (Bolivarian Republic of),Public domain
VNM,Viet Nam,Public domain
VGB,Virgin Islands (British),Public domain
VIR,Virgin Islands (U.S.),Public domain
WLF,Wallis and Futuna,Public domain
YEM,Yemen,Public domain
ZMB,Zambia,Public domain
ZWE,Zimbabwe,Public domain
